Year,GDP (billions of current dollars)
1900,20.1  
1901,21.4
1902,23.1
1903,24.2
1904,23.6
1905,24.4
1906,26.6
1907,28.8
1908,30.1
1909,32.4
1910,33.4
1911,34.9
1912,39.1
1913,39.9
1914,34.1
1915,36.5
1916,49.6
1917,59.7 
1918,75.9
1919,78.8
1920,88.4
1921,69.7
1922,73.1
1923,85.5
1924,87.0
1925,90.6
1926,97.0
1927,97.7
1928,103.6
1929,103.7
1930,91.1
1931,76.5
1932,58.7
1933,56.4
1934,66.0
1935,73.3
1936,83.8  
1937,91.1
1938,86.1
1939,92.2  
1940,101.4
1941,126.7
1942,161.9
1943,198.6
1944,219.8
1945,223.1  
1946,222.3
1947,244.1
1948,269.2
1949,267.3  
1950,293.8
1951,339.3
1952,358.3
1953,379.4 
1954,380.4
1955,414.8  
1956,442.5
1957,468.2
1958,506.6
1959,526.4
1960,544.8
1961,585.7  
1962,617.8
1963,663.6 
1964,719.1
1965,787.7
1966,834.4
1967,915.0
1968,992.7
1969,1035.1
1970,1038.3
1971,1126.8
1972,1237.9
1973,1382.7
1974,1499.5  
1975,1632.5
1976,1824.6
1977,2030.0
1978,2293.8 
1979,2563.3
1980,2788.1
1981,3128.4
1982,3255.0
1983,3536.6  
1984,3933.2
1985,4217.5  
1986,4462.8
1987,4736.4
1988,5100.4
1989,5484.4
1990,5803.1  
1991,5995.9
1992,6337.7
1993,6657.4
1994,7085.2
1995,7414.7  
1996,7838.5
1997,8332.4
1998,8793.5
1999,9353.5
2000,10289.7
2001,10621.8
2002,10977.5  
2003,11510.7
2004,12277.0
2005,13095.4
2006,13857.4  
2007,14477.6 
2008,14719.6
2009,14418.7
2010,14964.4
2011,15518.6 
2012,16155.3
2013,16691.5
2014,17393.1
2015,18120.7
2016,18624.5
2017,19390.6
2018,20580.2
2019,21433.2
2020,20926.6
2021,22939.7
