,realtime_start,realtime_end,date,value
0,2023-10-01,2023-10-01,1946-01-01,.
1,2023-10-01,2023-10-01,1946-04-01,.
2,2023-10-01,2023-10-01,1946-07-01,.
3,2023-10-01,2023-10-01,1946-10-01,.
4,2023-10-01,2023-10-01,1947-01-01,243.164
5,2023-10-01,2023-10-01,1947-04-01,245.968
6,2023-10-01,2023-10-01,1947-07-01,249.585
7,2023-10-01,2023-10-01,1947-10-01,259.745
8,2023-10-01,2023-10-01,1948-01-01,265.742
9,2023-10-01,2023-10-01,1948-04-01,272.567
10,2023-10-01,2023-10-01,1948-07-01,279.196
11,2023-10-01,2023-10-01,1948-10-01,280.366
12,2023-10-01,2023-10-01,1949-01-01,275.034
13,2023-10-01,2023-10-01,1949-04-01,271.351
14,2023-10-01,2023-10-01,1949-07-01,272.889
15,2023-10-01,2023-10-01,1949-10-01,270.627
16,2023-10-01,2023-10-01,1950-01-01,280.828
17,2023-10-01,2023-10-01,1950-04-01,290.383
18,2023-10-01,2023-10-01,1950-07-01,308.153
19,2023-10-01,2023-10-01,1950-10-01,319.945
20,2023-10-01,2023-10-01,1951-01-01,336.0
21,2023-10-01,2023-10-01,1951-04-01,344.09
22,2023-10-01,2023-10-01,1951-07-01,351.385
23,2023-10-01,2023-10-01,1951-10-01,356.178
24,2023-10-01,2023-10-01,1952-01-01,359.82
25,2023-10-01,2023-10-01,1952-04-01,361.03
26,2023-10-01,2023-10-01,1952-07-01,367.701
27,2023-10-01,2023-10-01,1952-10-01,380.812
28,2023-10-01,2023-10-01,1953-01-01,387.98
29,2023-10-01,2023-10-01,1953-04-01,391.749
30,2023-10-01,2023-10-01,1953-07-01,391.171
31,2023-10-01,2023-10-01,1953-10-01,385.97
32,2023-10-01,2023-10-01,1954-01-01,385.345
33,2023-10-01,2023-10-01,1954-04-01,386.121
34,2023-10-01,2023-10-01,1954-07-01,390.996
35,2023-10-01,2023-10-01,1954-10-01,399.734
36,2023-10-01,2023-10-01,1955-01-01,413.073
37,2023-10-01,2023-10-01,1955-04-01,421.532
38,2023-10-01,2023-10-01,1955-07-01,430.221
39,2023-10-01,2023-10-01,1955-10-01,437.092
40,2023-10-01,2023-10-01,1956-01-01,439.746
41,2023-10-01,2023-10-01,1956-04-01,446.01
42,2023-10-01,2023-10-01,1956-07-01,451.191
43,2023-10-01,2023-10-01,1956-10-01,460.463
44,2023-10-01,2023-10-01,1957-01-01,469.779
45,2023-10-01,2023-10-01,1957-04-01,472.025
46,2023-10-01,2023-10-01,1957-07-01,479.49
47,2023-10-01,2023-10-01,1957-10-01,474.864
48,2023-10-01,2023-10-01,1958-01-01,467.54
49,2023-10-01,2023-10-01,1958-04-01,471.978
50,2023-10-01,2023-10-01,1958-07-01,485.841
51,2023-10-01,2023-10-01,1958-10-01,499.555
52,2023-10-01,2023-10-01,1959-01-01,510.33
53,2023-10-01,2023-10-01,1959-04-01,522.653
54,2023-10-01,2023-10-01,1959-07-01,525.034
55,2023-10-01,2023-10-01,1959-10-01,528.6
56,2023-10-01,2023-10-01,1960-01-01,542.648
57,2023-10-01,2023-10-01,1960-04-01,541.08
58,2023-10-01,2023-10-01,1960-07-01,545.604
59,2023-10-01,2023-10-01,1960-10-01,540.197
60,2023-10-01,2023-10-01,1961-01-01,545.018
61,2023-10-01,2023-10-01,1961-04-01,555.545
62,2023-10-01,2023-10-01,1961-07-01,567.664
